"","FIPS","SUMLEV","REGION","DIVISION","STATE","COUNTY","STNAME","CTYNAME","ESTIMATESBASE2000","POPESTIMATE2000","POPESTIMATE2001","POPESTIMATE2002","POPESTIMATE2003","POPESTIMATE2004","POPESTIMATE2005","POPESTIMATE2006","POPESTIMATE2007","POPESTIMATE2008","POPESTIMATE2009","CENSUS2010POP","POPESTIMATE2010","POPESTIMATE2010_","POPESTIMATE2011","POPESTIMATE2012","BLACK","EDUC","MEDHOMVAL","MEDHHINC","AREA","POPSQ2010","Poverty.Estimate.All.Ages","Poverty.Percent.All.Ages","Poverty.Estimate.Under.Age.18","Poverty.Percent.Under.Age.18","Poverty.Estimate.Ages.5.17","Poverty.Percent.Ages.5.17","Median.Household.Income","Poverty.Estimate.Ages.0.4","Poverty.Percent.Ages.0.4","share","Scale","climate","topo","ruc","HWYCOUNT","HWYAREA","HWYMEAN","HWYSUM","Under18_2000","Under18_2000_per","Pop-18-64_2000","Pop-18-64_2000_per","Over64_2000","Over64_2000_per","Median_age_2000"
"1",1000,40,3,6,1,0,"Alabama","Alabama",4447207,4452173,4467634,4480089,4503491,4530729,4569805,4628981,4672840,4718206,4757938,4779736,4785298,NA,NA,NA,26.6,22.6,122500,43253,50645.33,94.4,750197,16.6,261151,23.6,174665,21.9,40596,81858,27.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",1001,50,3,6,1,1,"Alabama","Autauga County",43751,44021,44889,45909,46800,48366,49676,51328,52405,53277,54135,54571,54632,54634,55392,55514,18.4,20.9,136200,53682,594.44,91.8,5155,10.4,1815,13.8,1219,12.6,50375,NA,NA,0.185069008782936,0.78,-0.26189,0.77701,2,1300,1.3e+09,1.33451094686412,1734.86423092335,12494,28.6,9826,22.5,4451,10.2,35.1
"3",1003,50,3,6,1,3,"Alabama","Baldwin County",140416,141342,144875,147957,151509,156266,162183,168121,172404,175827,179406,182265,183195,183275,186830,190790,9.5,27.7,168600,50221,1589.78,114.6,17500,10.3,6074,15.3,4327,15,49163,NA,NA,0.492551688711956,1.82,0.85718,-0.73966,4,2943,2.943e+09,1.93075124444173,5682.200912392,34320,24.4,34978,24.9,21703,15.5,39
"4",1005,50,3,6,1,5,"Alabama","Barbour County",29042,29015,28863,28653,28594,28287,28027,27861,27757,27808,27657,27457,27411,27366,27313,27201,47.6,13.4,89200,32911,884.88,31,6442,26.1,2130,34.1,1446,31.5,30370,NA,NA,0.368238857637386,0.19,0.43154,-0.73966,6,1642,1.642e+09,1.34956872597857,2215.99184805682,7383,25.4,6492,22.4,3873,13.3,35.8
"5",1007,50,3,6,1,7,"Alabama","Bibb County",19856,19913,21028,21199,21399,21721,22042,22099,22438,22705,22941,22915,22867,22863,22738,22597,22.1,12.1,90500,36447,622.58,36.8,3664,18.2,1219,24.2,842,22.5,38907,NA,NA,0.0558848433530906,-0.15,-0.64715,0.77701,1,1379,1.379e+09,1.51941367334653,2095.27145554486,5286,25.4,4726,22.7,2413,11.6,34.7
"6",1009,50,3,6,1,9,"Alabama","Blount County",50982,51107,51845,52551,53457,54124,54624,55485,56240,57055,57341,57322,57338,57359,57748,57826,1.8,12.1,117100,44145,644.78,88.9,7329,13.1,2490,18.5,1720,17.4,43266,NA,NA,0.171407462135205,0.23,-0.49152,0.77701,1,1547,1.547e+09,1.78807581924865,2766.15329237765,12948,25.4,12320,24.1,6558,12.9,36.4
"7",1011,50,3,6,1,11,"Alabama","Bullock County",11603,11581,11358,11256,11316,11056,11011,10776,11011,10953,10987,10914,10890,10880,10599,10474,69.9,12.5,70600,32033,622.81,17.5,3155,34,982,38.7,654,37.4,24969,NA,NA,0.408251900108578,-1.08,0.52437,-0.73966,6,1129,1.129e+09,1.2126417305278,1369.07251376589,3058,26.1,2482,21.2,1543,13.2,35
"8",1013,50,3,6,1,13,"Alabama","Butler County",21394,21325,21139,20803,20833,20870,20830,20815,20894,20949,20867,20947,20951,20929,20598,20307,43.6,14,74700,29918,776.83,27,4598,23.2,1653,34.2,1145,33.1,30460,NA,NA,0.146769362430466,-1.16,0.55286,-0.73966,6,1655,1.655e+09,1.45039875085333,2400.40993266227,5754,26.9,4930,23,3506,16.4,37.7
"9",1015,50,3,6,1,15,"Alabama","Calhoun County",111882,111081,111266,111625,112705,113462,114477,115388,116211,117274,118363,118572,118510,118423,117815,117296,20.9,16.1,100600,39962,605.87,195.7,18838,17.1,6366,24.7,4387,24,37478,NA,NA,0.0965114492085446,0.22,-0.55465,0.92868,3,1455,1.455e+09,2.70948778885798,3942.30473278835,26456,23.6,27007,24.1,15872,14.1,37.2
"10",1017,50,3,6,1,17,"Alabama","Chambers County",36600,36571,36274,35965,35680,35463,35279,34945,34847,34563,34384,34215,34157,34125,34005,34064,39.1,11.8,81200,32402,596.53,57.4,5328,15.6,1983,24.6,1384,23.3,33904,NA,NA,0.16698172652804,-0.34,0.18537,-0.588,6,1308,1.308e+09,1.64182520113209,2147.50736308077,9017,24.6,8609,23.5,5928,16.2,37.7
