State FIPS,County FIPS,Name,Poverty Estimate All Ages,90% CI Lower Bound,90% CI Upper Bound,Poverty Percent All Ages,90% CI Lower Bound,90% CI Upper Bound,Poverty Estimate Under Age 18,90% CI Lower Bound,90% CI Upper Bound,Poverty Percent Under Age 18,90% CI Lower Bound,90% CI Upper Bound,Poverty Estimate Ages 5-17,90% CI Lower Bound,90% CI Upper Bound,Poverty Percent Ages 5-17,90% CI Lower Bound,90% CI Upper Bound,Median Household Income,90% CI Lower Bound,90% CI Upper Bound,Poverty Estimate Ages 0-4,90% CI Lower Bound,90% CI Upper Bound,Poverty Percent Ages 0-4,90% CI Lower Bound,90% CI Upper Bound
00,000,United States,38052247.00,37829283.00,38275211.00,13.00,12.90,13.00,13097100.00,12981173.00,13213027.00,18.00,17.90,18.20,8499844.00,8419720.00,8579968.00,16.40,16.20,16.50,50740.00,50665.00,50815.00,4229120.00,4178842.00,4279398.00,20.80,20.50,21.00
01,000,Alabama,750197.00,734699.00,765695.00,16.60,16.30,17.00,261151.00,252546.00,269756.00,23.60,22.80,24.40,174665.00,166811.00,182519.00,21.90,20.90,22.90,40596.00,40178.00,41014.00,81858.00,78293.00,85424.00,27.10,25.90,28.20
01,001,Autauga County,5155.00,4189.00,6120.00,10.40,8.40,12.30,1815.00,1400.00,2230.00,13.80,10.60,16.90,1219.00,925.00,1513.00,12.60,9.60,15.70,50375.00,47219.00,53532.00, , , , , , 
01,003,Baldwin County,17500.00,14635.00,20364.00,10.30,8.60,12.00,6074.00,4835.00,7312.00,15.30,12.10,18.40,4327.00,3386.00,5268.00,15.00,11.70,18.20,49163.00,46500.00,51826.00, , , , , , 
01,005,Barbour County,6442.00,5353.00,7530.00,26.10,21.70,30.50,2130.00,1672.00,2589.00,34.10,26.70,41.40,1446.00,1096.00,1796.00,31.50,23.90,39.20,30370.00,27689.00,33050.00, , , , , , 
01,007,Bibb County,3664.00,2820.00,4508.00,18.20,14.00,22.30,1219.00,916.00,1522.00,24.20,18.20,30.20,842.00,625.00,1059.00,22.50,16.70,28.30,38907.00,35400.00,42414.00, , , , , , 
01,009,Blount County,7329.00,5917.00,8741.00,13.10,10.60,15.60,2490.00,1937.00,3044.00,18.50,14.40,22.60,1720.00,1313.00,2127.00,17.40,13.30,21.50,43266.00,40089.00,46442.00, , , , , , 
01,011,Bullock County,3155.00,2453.00,3858.00,34.00,26.50,41.60,982.00,739.00,1224.00,38.70,29.10,48.20,654.00,485.00,823.00,37.40,27.70,47.00,24969.00,22440.00,27499.00, , , , , , 
01,013,Butler County,4598.00,3742.00,5454.00,23.20,18.90,27.50,1653.00,1302.00,2005.00,34.20,27.00,41.50,1145.00,878.00,1412.00,33.10,25.30,40.80,30460.00,27821.00,33098.00, , , , , , 
01,015,Calhoun County,18838.00,16364.00,21311.00,17.10,14.80,19.30,6366.00,5259.00,7473.00,24.70,20.40,29.00,4387.00,3553.00,5221.00,24.00,19.40,28.50,37478.00,35705.00,39252.00, , , , , , 
