"","DELTA","SE","TValue","PValue"
"nA1"," 0.2689"," 0.1022"," 2.6308"," 0.0086"
"nA2","-0.9084"," 0.7672","-1.1841"," 0.2365"
"nWA2"," 0.0745"," 0.1251"," 0.5954"," 0.5516"
"nA2l"," 0.0541"," 0.0873"," 0.6202"," 0.5351"
"nWA2l","-0.0140"," 0.0933","-0.1503"," 0.8805"
"nLP"," 0.1459"," 0.5990"," 0.2436"," 0.8076"
"nB1","-0.3121"," 0.0843","-3.7042"," 0.0002"
"nB2","-0.1250"," 0.8529","-0.1466"," 0.8835"
"nWB2"," 0.0659"," 0.1568"," 0.4202"," 0.6744"
"nB2l"," 0.0836"," 0.1291"," 0.6478"," 0.5172"
"nWB2l","-0.1310"," 0.0962","-1.3621"," 0.1733"
"nLE"," 0.2733"," 0.7489"," 0.3650"," 0.7152"
