"","DELTA","SE","TValue","PValue"
"WY21"," 0.5367"," 0.5283"," 1.0159"," 0.3098"
"y21","-1.3787"," 0.8117","-1.6985"," 0.0895"
"BB1"," 0.2774"," 0.2777"," 0.9990"," 0.3179"
"y1_l1","-0.4275"," 0.9831","-0.4349"," 0.6637"
"y2_l1","-0.3439"," 0.7369","-0.4667"," 0.6408"
"Wy2_l1"," 0.2129"," 0.1775"," 1.1997"," 0.2304"
"MEDHOMVAL1"," 0.0506"," 0.1469"," 0.3443"," 0.7306"
"Scale1"," 0.0059"," 0.1099"," 0.0535"," 0.9574"
"share1"," 0.0129"," 0.0439"," 0.2942"," 0.7686"
"share651","-0.0468"," 0.0517","-0.9065"," 0.3647"
"rurala1"," 0.0490"," 0.0572"," 0.8573"," 0.3914"
"ruraln1"," 0.0923"," 0.0621"," 1.4863"," 0.1373"
"poverty1"," 0.0061"," 0.0659"," 0.0933"," 0.9257"
"WY12","-0.1649"," 0.2956","-0.5577"," 0.5771"
"y12","-0.6634"," 0.6041","-1.0981"," 0.2723"
"BB2"," 0.1174"," 0.2452"," 0.4787"," 0.6322"
"y1_l2","-0.2210"," 0.6794","-0.3253"," 0.7450"
"Wy1_l2"," 0.0909"," 0.1897"," 0.4795"," 0.6316"
"y2_l2","-0.2556"," 0.5616","-0.4551"," 0.6491"
"hwy2"," 0.0188"," 0.1210"," 0.1554"," 0.8765"
"EDUC2"," 0.0147"," 0.0947"," 0.1554"," 0.8765"
"wagesA.20082"," 0.0038"," 0.0469"," 0.0799"," 0.9363"
"taxwageA.20082"," 0.0128"," 0.0641"," 0.1993"," 0.8421"
"UNrate2","-0.0122"," 0.0327","-0.3711"," 0.7106"
"MEDHHINC2"," 0.0143"," 0.0582"," 0.2459"," 0.8058"
"share652","-0.0559"," 0.0379","-1.4766"," 0.1399"
"rurala2"," 0.0415"," 0.0290"," 1.4278"," 0.1534"
"ruraln2"," 0.0682"," 0.0354"," 1.9253"," 0.0543"
