"","DELTA","SE","TValue","PValue"
"nA1"," 0.3642"," 0.1289"," 2.8250"," 0.0048"
"nA2","-0.6801"," 0.3903","-1.7424"," 0.0815"
"nWA2"," 0.1095"," 0.0940"," 1.1644"," 0.2444"
"nA2l","-0.4571"," 0.3224","-1.4176"," 0.1564"
"nWA2l"," 0.2663"," 0.2942"," 0.9050"," 0.3655"
"nLP","-0.1214"," 0.4695","-0.2586"," 0.7959"
"nB1","-0.1991"," 0.1675","-1.1889"," 0.2346"
"nB2","-0.1706"," 0.6474","-0.2634"," 0.7922"
"nWB2"," 0.1182"," 0.1285"," 0.9199"," 0.3577"
"nB2l","-0.1104"," 0.3942","-0.2801"," 0.7794"
"nWB2l","-0.0472"," 0.1202","-0.3928"," 0.6945"
"nLE"," 0.1567"," 0.4416"," 0.3550"," 0.7226"
