"","DELTA","SE","TValue","PValue"
"(Intercept)","-0.0003"," 0.0153","-0.0199"," 0.9841"
"y1_l1"," 0.0837"," 0.5737"," 0.1460"," 0.8840"
"y2_l1","-0.8852"," 0.7512","-1.1784"," 0.2387"
"Wy2_l1"," 0.0151"," 0.1464"," 0.1029"," 0.9181"
"MEDHOMVAL1","-0.1296"," 0.0664","-1.9515"," 0.0511"
"Scale1"," 0.1899"," 0.0328"," 5.7960"," 0.0000"
"share1"," 0.0252"," 0.0167"," 1.5106"," 0.1310"
"share651"," 0.0023"," 0.0299"," 0.0779"," 0.9379"
"rurala1","-0.0484"," 0.0163","-2.9757"," 0.0029"
"ruraln1","-0.0306"," 0.0271","-1.1276"," 0.2596"
"poverty1","-0.1183"," 0.0423","-2.7950"," 0.0052"
"WY21"," 0.1582"," 0.1414"," 1.1189"," 0.2633"
"y21"," 0.0112"," 0.1485"," 0.0753"," 0.9400"
"BB1"," 0.3069"," 0.0985"," 3.1168"," 0.0018"
"(Intercept)","-0.0007"," 0.0113","-0.0640"," 0.9490"
"y1_l2","-0.1949"," 0.3530","-0.5522"," 0.5809"
"Wy1_l2"," 0.0654"," 0.0592"," 1.1046"," 0.2694"
"y2_l2"," 1.1161"," 0.4480"," 2.4914"," 0.0128"
"hwy2"," 0.0259"," 0.0614"," 0.4225"," 0.6727"
"EDUC2","-0.0362"," 0.0212","-1.7099"," 0.0874"
"wagesA.20082","-0.0121"," 0.0389","-0.3102"," 0.7564"
"taxwageA.20082","-0.0308"," 0.0169","-1.8255"," 0.0680"
"UNrate2","-0.0245"," 0.0098","-2.5014"," 0.0124"
"MEDHHINC2"," 0.0427"," 0.0218"," 1.9594"," 0.0502"
"share652","-0.0559"," 0.0165","-3.3779"," 0.0007"
"rurala2"," 0.0404"," 0.0139"," 2.9180"," 0.0035"
"ruraln2"," 0.0331"," 0.0179"," 1.8491"," 0.0645"
"WY12","-0.0437"," 0.0768","-0.5686"," 0.5697"
"y12"," 0.0091"," 0.0883"," 0.1031"," 0.9179"
"BB2","-0.2866"," 0.0403","-7.1103"," 0.0000"
