"","DELTA","SE","TValue","PValue"
"nA1"," 0.3069"," 0.0985"," 3.1168"," 0.0018"
"nA2","-0.8852"," 0.7512","-1.1784"," 0.2387"
"nWA2"," 0.0151"," 0.1464"," 0.1029"," 0.9181"
"nA2l"," 0.0112"," 0.1485"," 0.0753"," 0.9400"
"nWA2l"," 0.1582"," 0.1414"," 1.1189"," 0.2633"
"nLP"," 0.0837"," 0.5737"," 0.1460"," 0.8840"
"nB1","-0.2866"," 0.0403","-7.1103"," 0.0000"
"nB2","-0.1949"," 0.3530","-0.5522"," 0.5809"
"nWB2"," 0.0654"," 0.0592"," 1.1046"," 0.2694"
"nB2l"," 0.0091"," 0.0883"," 0.1031"," 0.9179"
"nWB2l","-0.0437"," 0.0768","-0.5686"," 0.5697"
"nLE"," 1.1161"," 0.4480"," 2.4914"," 0.0128"
