"","DELTA","SE","TValue","PValue"
"WY21"," 0.3892"," 0.5613"," 0.6933"," 0.4882"
"y21","-1.6872"," 0.5486","-3.0754"," 0.0021"
"BB1","-0.0964"," 0.2297","-0.4197"," 0.6748"
"y1_l1","-0.3431"," 0.5062","-0.6778"," 0.4979"
"y2_l1"," 1.0465"," 0.6640"," 1.5761"," 0.1151"
"Wy2_l1","-0.0530"," 0.4439","-0.1194"," 0.9050"
"MEDHOMVAL1","-0.0048"," 0.0695","-0.0690"," 0.9450"
"Scale1"," 0.0425"," 0.0617"," 0.6895"," 0.4906"
"share1"," 0.0177"," 0.0332"," 0.5323"," 0.5946"
"share651","-0.0803"," 0.0447","-1.7990"," 0.0721"
"rurala1"," 0.0252"," 0.0276"," 0.9142"," 0.3607"
"ruraln1"," 0.0346"," 0.0403"," 0.8597"," 0.3900"
"poverty1","-0.0898"," 0.0409","-2.1975"," 0.0281"
"WY12","-0.0712"," 0.1208","-0.5894"," 0.5557"
"y12","-0.3219"," 0.2311","-1.3932"," 0.1637"
"BB2","-0.1653"," 0.0751","-2.1995"," 0.0279"
"y1_l2","-0.1717"," 0.2461","-0.6978"," 0.4854"
"Wy1_l2"," 0.0760"," 0.0903"," 0.8408"," 0.4005"
"y2_l2"," 0.8272"," 0.2463"," 3.3580"," 0.0008"
"hwy2","-0.0054"," 0.0599","-0.0900"," 0.9283"
"EDUC2","-0.0096"," 0.0380","-0.2533"," 0.8001"
"wagesA.20082","-0.0110"," 0.0249","-0.4427"," 0.6580"
"taxwageA.20082","-0.0224"," 0.0304","-0.7350"," 0.4624"
"UNrate2","-0.0127"," 0.0138","-0.9210"," 0.3571"
"MEDHHINC2"," 0.0387"," 0.0245"," 1.5805"," 0.1141"
"share652","-0.0510"," 0.0185","-2.7566"," 0.0059"
"rurala2"," 0.0246"," 0.0137"," 1.7903"," 0.0735"
"ruraln2"," 0.0266"," 0.0190"," 1.3985"," 0.1621"
