"","DELTA","SE","TValue","PValue"
"(Intercept)"," 0.0052"," 0.0224"," 0.2323"," 0.8163"
"y1_l1","-0.1151"," 0.3730","-0.3085"," 0.7577"
"y2_l1","-0.3902"," 0.5777","-0.6753"," 0.4995"
"Wy2_l1","-0.5605"," 0.2311","-2.4251"," 0.0154"
"MEDHOMVAL1","-0.1157"," 0.0618","-1.8715"," 0.0614"
"Scale1"," 0.1759"," 0.0509"," 3.4569"," 0.0006"
"share1"," 0.0514"," 0.0244"," 2.1076"," 0.0351"
"share651","-0.0157"," 0.0285","-0.5512"," 0.5816"
"rurala1","-0.0252"," 0.0187","-1.3528"," 0.1762"
"ruraln1","-0.0258"," 0.0241","-1.0706"," 0.2844"
"poverty1","-0.1285"," 0.0367","-3.4959"," 0.0005"
"WY21"," 0.8334"," 0.2758"," 3.0213"," 0.0025"
"y21","-0.3867"," 0.4008","-0.9648"," 0.3347"
"BB1"," 0.3609"," 0.1574"," 2.2921"," 0.0220"
"rho"," 0.3578"," 0.1035"," 3.4566"," 0.0006"
"(Intercept)","-0.0031"," 0.0152","-0.2062"," 0.8366"
"y1_l2","-0.1656"," 0.2201","-0.7526"," 0.4518"
"Wy1_l2"," 0.0949"," 0.0748"," 1.2683"," 0.2048"
"y2_l2"," 1.0089"," 0.2081"," 4.8488"," 0.0000"
"hwy2"," 0.0074"," 0.0590"," 0.1254"," 0.9003"
"EDUC2","-0.0208"," 0.0300","-0.6927"," 0.4885"
"wagesA.20082","-0.0158"," 0.0225","-0.7016"," 0.4830"
"taxwageA.20082","-0.0415"," 0.0267","-1.5557"," 0.1199"
"UNrate2","-0.0151"," 0.0101","-1.5014"," 0.1333"
"MEDHHINC2"," 0.0436"," 0.0190"," 2.2986"," 0.0216"
"share652","-0.0612"," 0.0167","-3.6709"," 0.0002"
"rurala2"," 0.0305"," 0.0121"," 2.5200"," 0.0118"
"ruraln2"," 0.0305"," 0.0159"," 1.9110"," 0.0561"
"WY12"," 0.0263"," 0.0776"," 0.3394"," 0.7343"
"y12","-0.0912"," 0.1846","-0.4939"," 0.6214"
"BB2","-0.2625"," 0.0642","-4.0906"," 0.0000"
"rho"," 0.3490"," 0.0613"," 5.6894"," 0.0000"
