"","V1","V2","V3"
"waldalpha1","0.0219","0.0908","0.0953"
"","(0.657)","(0.5134)","(0.5076)"
"waldbeta1","0.009","0.8303","0.0125"
"","(0.7248)","(0.2014)","(0.7014)"
"waldbb","0.0304","0.8308","0.0989"
"","(0.9849)","(0.6601)","(0.9518)"
"waldalpha2","0.003","0.0409","0.0033"
"","(0.7917)","(0.5997)","(0.7856)"
"waldbeta2","0.0088","0.243","0.0119"
"","(0.7269)","(0.3852)","(0.7052)"
"waldpopemp","0.0106","0.2446","0.041"
"","(0.9947)","(0.8849)","(0.9797)"
"waldspemp","0.0032","1.3129","0.0034"
"","(0.7868)","(0.1351)","(0.7844)"
"waldsppop","1.2349","1.4277","0.4302"
"","(0.1435)","(0.1237)","(0.3014)"
