"","DELTA","SE","TValue","PValue"
"WY21","-1.1183"," 0.9393","-1.1906"," 0.2339"
"y21"," 1.9370"," 1.1258"," 1.7206"," 0.0854"
"BB1"," 0.3939"," 0.1719"," 2.2911"," 0.0220"
"y1_l1","-0.1235"," 0.6676","-0.1849"," 0.8533"
"y2_l1"," 1.1823"," 0.7410"," 1.5955"," 0.1107"
"Wy2_l1","-0.8902"," 0.8318","-1.0702"," 0.2846"
"MEDHOMVAL1","-0.1857"," 0.0717","-2.5881"," 0.0097"
"Scale1"," 0.1271"," 0.0377"," 3.3716"," 0.0008"
"share1"," 0.0572"," 0.0254"," 2.2553"," 0.0242"
"share651","-0.0157"," 0.0225","-0.6975"," 0.4856"
"rurala1","-0.0051"," 0.0167","-0.3048"," 0.7606"
"ruraln1"," 0.0126"," 0.0246"," 0.5143"," 0.6071"
"poverty1","-0.1717"," 0.0450","-3.8159"," 0.0001"
"WY12"," 0.0007"," 0.0566"," 0.0128"," 0.9898"
"y12"," 0.1096"," 0.1185"," 0.9244"," 0.3554"
"BB2"," 0.0619"," 0.0523"," 1.1827"," 0.2370"
"y1_l2","-0.2301"," 0.1760","-1.3073"," 0.1912"
"Wy1_l2","-0.0625"," 0.0509","-1.2276"," 0.2197"
"y2_l2","-0.7136"," 0.1422","-5.0186"," 0.0000"
"hwy2"," 0.0715"," 0.0361"," 1.9832"," 0.0474"
"EDUC2","-0.0059"," 0.0187","-0.3149"," 0.7528"
"wagesA.20082"," 0.0042"," 0.0107"," 0.3933"," 0.6941"
"taxwageA.20082","-0.0316"," 0.0150","-2.1062"," 0.0353"
"UNrate2","-0.0093"," 0.0092","-1.0146"," 0.3104"
"MEDHHINC2","-0.0092"," 0.0118","-0.7847"," 0.4327"
"share652","-0.0129"," 0.0097","-1.3195"," 0.1871"
"rurala2"," 0.0072"," 0.0084"," 0.8518"," 0.3944"
"ruraln2"," 0.0152"," 0.0106"," 1.4301"," 0.1528"
