"","V1","V2","V3"
"nA1","0.2907**","0.5381***","0.3939**"
"","(0.1406)","(0.1709)","(0.1719)"
"nA2","0.3902","0.5725","1.1823"
"","(0.7306)","(0.6535)","(0.741)"
"nWA2","-0.4074","-1.0398*","-0.8902"
"","(0.2807)","(0.619)","(0.8318)"
"nA2l","0.7126*","1.0959","1.937*"
"","(0.3868)","(0.9657)","(1.1258)"
"nWA2l","-0.5918**","-1.2457*","-1.1183"
"","(0.2983)","(0.6931)","(0.9393)"
"nLP","-0.4708","-0.3889","-0.1235"
"","(0.7263)","(0.5321)","(0.6676)"
"Moran I statistic"," 0.1647"," 0.0179","-0.0393"
""," 0.0000"," 0.0863"," 0.0002"
