"","DELTA","SE","TValue","PValue"
"WY21h","  0.5008","  0.2009","  2.4927","  0.0127"
"y21h"," -0.6257","  0.2197"," -2.8480","  0.0044"
"WY31h"," -0.6892","  0.2922"," -2.3584","  0.0184"
"y31h","  0.6224","  0.2861","  2.1755","  0.0297"
"y1_l1"," -0.0191","  0.5331"," -0.0359","  0.9713"
"y2_l1"," -0.8205","  0.6887"," -1.1914","  0.2336"
"Wy2_l1","  0.2808","  0.1518","  1.8500","  0.0644"
"y3_l1","  0.3873","  0.1262","  3.0693","  0.0022"
"Wy3_l1"," -0.3046","  0.0968"," -3.1481","  0.0017"
"ones1","  0.0038","  0.0145","  0.2649","  0.7911"
"MEDHOMVAL1","  0.0568","  0.0348","  1.6310","  0.1030"
"Scale1","  0.0837","  0.0212","  3.9541","  0.0001"
"share1"," -0.0157","  0.0122"," -1.2856","  0.1987"
"share651","  0.0006","  0.0273","  0.0212","  0.9831"
"rurala1"," -0.0473","  0.0195"," -2.4253","  0.0154"
"ruraln1"," -0.0382","  0.0301"," -1.2683","  0.2048"
"WY12h"," -0.0811","  0.2707"," -0.2997","  0.7644"
"y12h","  0.0048","  0.1583","  0.0304","  0.9757"
"WY32h","  0.1010","  0.3182","  0.3175","  0.7509"
"y32h"," -0.1214","  0.7287"," -0.1666","  0.8677"
"y1_l2"," -0.0674","  0.7987"," -0.0844","  0.9328"
"Wy1_l2","  0.1187","  0.1928","  0.6157","  0.5381"
"y2_l2","  0.1616","  0.6868","  0.2352","  0.8140"
"y3_l2"," -0.3147","  0.1126"," -2.7952","  0.0052"
"Wy3_l2","  0.0391","  0.1136","  0.3442","  0.7307"
"ones2"," -0.0017","  0.0198"," -0.0861","  0.9314"
"hwy2","  0.0907","  0.0971","  0.9345","  0.3501"
"EDUC2"," -0.0127","  0.0727"," -0.1754","  0.8607"
"wagesA.20082","  0.0631","  0.0392","  1.6093","  0.1077"
"taxwageA.20082","  0.0227","  0.0317","  0.7140","  0.4753"
"UNrate2"," -0.0395","  0.0296"," -1.3344","  0.1822"
"rurala2","  0.0372","  0.0350","  1.0642","  0.2873"
"ruraln2","  0.0261","  0.0583","  0.4481","  0.6541"
"WY13h"," -0.4075","  0.1065"," -3.8258","  0.0001"
"y13h"," -0.3324","  0.0899"," -3.6955","  0.0002"
"WY23h"," -0.2305","  0.1404"," -1.6421","  0.1007"
"y23h","  0.0022","  0.1281","  0.0168","  0.9866"
"y1_l3","  0.0754","  0.1582","  0.4763","  0.6339"
"Wy1_l3","  0.1542","  0.1981","  0.7781","  0.4366"
"y2_l3","  0.1203","  0.2662","  0.4518","  0.6515"
"Wy2_l3","  0.0065","  0.2063","  0.0315","  0.9749"
"y3_l3"," -0.6000","  0.0383","-15.6501","  0.0000"
"ones3","  0.0001","  0.0166","  0.0030","  0.9976"
"tpi3","  0.0146","  0.0178","  0.8225","  0.4108"
"MEDHHINC3","  0.0687","  0.0240","  2.8561","  0.0043"
"share3"," -0.0630","  0.0185"," -3.4080","  0.0007"
"hwy3"," -0.1434","  0.0456"," -3.1421","  0.0017"
"wagesA.20083","  0.1032","  0.0318","  3.2472","  0.0012"
"permitunit3","  0.1268","  0.0678","  1.8710","  0.0614"
"rurala3"," -0.0082","  0.0241"," -0.3414","  0.7328"
"ruraln3"," -0.0482","  0.0278"," -1.7301","  0.0837"
