"","DELTA","SE","TValue","PValue"
"nA2"," -0.8294","  0.6931"," -1.1966","  0.2315"
"nWA2","  0.2801","  0.1513","  1.8513","  0.0642"
"nA2l"," -0.5512","  0.2116"," -2.6044","  0.0092"
"nWA2l","  0.4664","  0.1942","  2.4013","  0.0164"
"nA3","  0.4004","  0.1296","  3.0906","  0.0020"
"nWA3"," -0.3165","  0.0983"," -3.2191","  0.0013"
"nA3l","  0.6509","  0.2917","  2.2317","  0.0257"
"nWA3l"," -0.7314","  0.2916"," -2.5085","  0.0122"
"nLP"," -0.0076","  0.5347"," -0.0142","  0.9887"
"nB2"," -0.0870","  0.8060"," -0.1079","  0.9140"
"nWB2","  0.0966","  0.1928","  0.5008","  0.6166"
"nB2l","  0.0772","  0.1425","  0.5414","  0.5883"
"nWB2l"," -0.0232","  0.2533"," -0.0918","  0.9269"
"nB3"," -0.3089","  0.1121"," -2.7549","  0.0059"
"nWB3","  0.0395","  0.1138","  0.3471","  0.7285"
"nB3l","  0.0298","  0.6619","  0.0450","  0.9641"
"nWB3l","  0.2187","  0.3108","  0.7035","  0.4818"
"nLE","  0.1704","  0.6950","  0.2452","  0.8063"
"nC2","  0.0805","  0.1590","  0.5064","  0.6126"
"nWC2","  0.1295","  0.2009","  0.6447","  0.5192"
"nC2l"," -0.3250","  0.0892"," -3.6446","  0.0003"
"nWC2l"," -0.4050","  0.1060"," -3.8195","  0.0001"
"nC3","  0.1188","  0.2694","  0.4409","  0.6593"
"nWC3","  0.0272","  0.2095","  0.1299","  0.8967"
"nC3l","  0.0878","  0.1199","  0.7325","  0.4639"
"nWC3l"," -0.2251","  0.1343"," -1.6758","  0.0939"
"nLB"," -0.5910","  0.0387","-15.2612","  0.0000"
