"","DELTA","SE","TValue","PValue"
"WY21h","  0.7906","  0.0997","  7.9291","  0.0000"
"y21h"," -1.0855","  0.0948","-11.4489","  0.0000"
"WY31h"," -0.5864","  0.1351"," -4.3417","  0.0000"
"y31h","  0.7105","  0.1107","  6.4164","  0.0000"
"y1_l1"," -0.0291","  0.0785"," -0.3708","  0.7108"
"y2_l1"," -0.8281","  0.0714","-11.5983","  0.0000"
"Wy2_l1","  0.2676","  0.0457","  5.8523","  0.0000"
"y3_l1","  0.3723","  0.0382","  9.7421","  0.0000"
"Wy3_l1"," -0.2322","  0.0475"," -4.8925","  0.0000"
"ones1","  0.0029","  0.0175","  0.1673","  0.8671"
"MEDHOMVAL1","  0.0284","  0.0252","  1.1262","  0.2601"
"BLACK1"," -0.0131","  0.0169"," -0.7747","  0.4386"
"Scale1","  0.0968","  0.0183","  5.2862","  0.0000"
"share1"," -0.0053","  0.0199"," -0.2670","  0.7895"
"share651","  0.0139","  0.0197","  0.7077","  0.4791"
"rurala1"," -0.0577","  0.0276"," -2.0903","  0.0366"
"ruraln1"," -0.0515","  0.0311"," -1.6560","  0.0978"
"WY12h"," -0.5293","  0.0909"," -5.8249","  0.0000"
"y12h"," -0.3916","  0.0788"," -4.9671","  0.0000"
"WY32h"," -0.1325","  0.1627"," -0.8147","  0.4153"
"y32h"," -0.2328","  0.0982"," -2.3700","  0.0178"
"y1_l2"," -0.0925","  0.0676"," -1.3676","  0.1715"
"Wy1_l2","  0.0749","  0.0508","  1.4744","  0.1404"
"y2_l2","  0.1863","  0.0608","  3.0667","  0.0022"
"y3_l2"," -0.2824","  0.0330"," -8.5583","  0.0000"
"Wy3_l2","  0.0173","  0.0517","  0.3340","  0.7384"
"ones2"," -0.0051","  0.0283"," -0.1790","  0.8579"
"hwy2"," -0.0482","  0.0377"," -1.2797","  0.2007"
"EDUC2"," -0.0120","  0.0284"," -0.4228","  0.6725"
"wagesA.20082","  0.0294","  0.0226","  1.2990","  0.1940"
"taxwageA.20082","  0.0115","  0.0215","  0.5339","  0.5934"
"UNrate2","  0.0066","  0.0226","  0.2930","  0.7695"
"rurala2"," -0.0129","  0.0236"," -0.5488","  0.5831"
"ruraln2"," -0.0156","  0.0322"," -0.4831","  0.6291"
"WY13h"," -0.2228","  0.0974"," -2.2867","  0.0223"
"y13h"," -0.1060","  0.0796"," -1.3331","  0.1826"
"WY23h"," -0.2813","  0.0998"," -2.8190","  0.0048"
"y23h","  0.1909","  0.0841","  2.2707","  0.0232"
"y1_l3"," -0.1465","  0.0839"," -1.7470","  0.0807"
"Wy1_l3","  0.3126","  0.1388","  2.2518","  0.0244"
"y2_l3","  0.2158","  0.0691","  3.1227","  0.0018"
"Wy2_l3"," -0.1302","  0.1370"," -0.9502","  0.3420"
"y3_l3"," -0.7051","  0.0312","-22.6168","  0.0000"
"ones3"," -0.0109","  0.0297"," -0.3674","  0.7133"
"tpi3","  0.0089","  0.0174","  0.5119","  0.6087"
"MEDHHINC3","  0.0802","  0.0301","  2.6619","  0.0078"
"share3"," -0.0847","  0.0225"," -3.7587","  0.0002"
"hwy3"," -0.0570","  0.0343"," -1.6642","  0.0961"
"wagesA.20083","  0.1063","  0.0248","  4.2923","  0.0000"
"permitunit3","  0.3435","  0.0300"," 11.4297","  0.0000"
"rurala3"," -0.0112","  0.0238"," -0.4706","  0.6380"
"ruraln3"," -0.0266","  0.0302"," -0.8792","  0.3793"
