"","DELTA","SE","TValue","PValue"
"nA2"," -0.8281","  0.0714","-11.5983","  0.0000"
"nWA2","  0.2676","  0.0457","  5.8523","  0.0000"
"nA2l"," -1.0855","  0.0948","-11.4489","  0.0000"
"nWA2l","  0.7906","  0.0997","  7.9291","  0.0000"
"nA3","  0.3723","  0.0382","  9.7421","  0.0000"
"nWA3"," -0.2322","  0.0475"," -4.8925","  0.0000"
"nA3l","  0.7105","  0.1107","  6.4164","  0.0000"
"nWA3l"," -0.5864","  0.1351"," -4.3417","  0.0000"
"nLP"," -0.0291","  0.0785"," -0.3708","  0.7108"
"nB2"," -0.0925","  0.0676"," -1.3676","  0.1715"
"nWB2","  0.0749","  0.0508","  1.4744","  0.1404"
"nB2l"," -0.3916","  0.0788"," -4.9671","  0.0000"
"nWB2l"," -0.5293","  0.0909"," -5.8249","  0.0000"
"nB3"," -0.2824","  0.0330"," -8.5583","  0.0000"
"nWB3","  0.0173","  0.0517","  0.3340","  0.7384"
"nB3l"," -0.2328","  0.0982"," -2.3700","  0.0178"
"nWB3l"," -0.1325","  0.1627"," -0.8147","  0.4153"
"nLE","  0.1863","  0.0608","  3.0667","  0.0022"
"nC2"," -0.1465","  0.0839"," -1.7470","  0.0807"
"nWC2","  0.3126","  0.1388","  2.2518","  0.0244"
"nC2l"," -0.1060","  0.0796"," -1.3331","  0.1826"
"nWC2l"," -0.2228","  0.0974"," -2.2867","  0.0223"
"nC3","  0.2158","  0.0691","  3.1227","  0.0018"
"nWC3"," -0.1302","  0.1370"," -0.9502","  0.3420"
"nC3l","  0.1909","  0.0841","  2.2707","  0.0232"
"nWC3l"," -0.2813","  0.0998"," -2.8190","  0.0048"
"nLB"," -0.7051","  0.0312","-22.6168","  0.0000"
