"","DELTA","SE","TValue","PValue"
"WY21h","  0.5189","  0.2120","  2.4474","  0.0144"
"y21h"," -0.6241","  0.2364"," -2.6404","  0.0083"
"WY31h"," -0.7018","  0.3044"," -2.3056","  0.0212"
"y31h","  0.6143","  0.2974","  2.0654","  0.0390"
"y1_l1","  0.0076","  0.5348","  0.0142","  0.9886"
"y2_l1"," -0.8465","  0.6846"," -1.2365","  0.2164"
"Wy2_l1","  0.2944","  0.1731","  1.7013","  0.0890"
"y3_l1","  0.3937","  0.1276","  3.0848","  0.0021"
"Wy3_l1"," -0.3174","  0.1056"," -3.0049","  0.0027"
"ones1","  0.0043","  0.0134","  0.3220","  0.7475"
"MEDHOMVAL1","  0.0426","  0.0334","  1.2749","  0.2024"
"Scale1","  0.0887","  0.0201","  4.4107","  0.0000"
"share1"," -0.0139","  0.0117"," -1.1910","  0.2337"
"share651"," -0.0037","  0.0265"," -0.1406","  0.8882"
"rurala1"," -0.0503","  0.0203"," -2.4731","  0.0135"
"ruraln1"," -0.0418","  0.0304"," -1.3733","  0.1698"
"WY12h","  0.0262","  0.3642","  0.0720","  0.9426"
"y12h"," -0.0866","  0.1656"," -0.5232","  0.6009"
"WY32h","  0.1531","  0.2383","  0.6425","  0.5206"
"y32h"," -0.0870","  0.6828"," -0.1275","  0.8986"
"y1_l2"," -0.1259","  0.7349"," -0.1713","  0.8640"
"Wy1_l2","  0.1196","  0.1132","  1.0565","  0.2908"
"y2_l2","  0.2071","  0.6090","  0.3401","  0.7338"
"y3_l2"," -0.3058","  0.0971"," -3.1513","  0.0016"
"Wy3_l2","  0.0537","  0.0862","  0.6232","  0.5332"
"ones2"," -0.0094","  0.0304"," -0.3089","  0.7574"
"hwy2","  0.0512","  0.1118","  0.4575","  0.6473"
"EDUC2","  0.0286","  0.0733","  0.3905","  0.6962"
"wagesA.20082","  0.0460","  0.0405","  1.1367","  0.2557"
"taxwageA.20082"," -0.0022","  0.0463"," -0.0469","  0.9626"
"UNrate2"," -0.0060","  0.0371"," -0.1629","  0.8706"
"rurala2","  0.0149","  0.0303","  0.4940","  0.6213"
"ruraln2","  0.0133","  0.0558","  0.2378","  0.8121"
"WY13h"," -0.4470","  0.1325"," -3.3741","  0.0007"
"y13h"," -0.2834","  0.0909"," -3.1162","  0.0018"
"WY23h"," -0.3046","  0.1399"," -2.1765","  0.0296"
"y23h"," -0.0022","  0.1187"," -0.0189","  0.9849"
"y1_l3","  0.1049","  0.1759","  0.5965","  0.5509"
"Wy1_l3","  0.0806","  0.2764","  0.2914","  0.7708"
"y2_l3","  0.1014","  0.3065","  0.3309","  0.7407"
"Wy2_l3","  0.0402","  0.2890","  0.1391","  0.8894"
"y3_l3"," -0.6854","  0.0443","-15.4799","  0.0000"
"ones3"," -0.0081","  0.0291"," -0.2782","  0.7809"
"tpi3","  0.0062","  0.0139","  0.4473","  0.6547"
"MEDHHINC3","  0.0824","  0.0308","  2.6718","  0.0076"
"share3"," -0.0819","  0.0224"," -3.6595","  0.0003"
"hwy3"," -0.0909","  0.0562"," -1.6174","  0.1059"
"wagesA.20083","  0.1039","  0.0354","  2.9349","  0.0034"
"permitunit3","  0.1452","  0.0784","  1.8527","  0.0640"
"rurala3"," -0.0294","  0.0238"," -1.2356","  0.2167"
"ruraln3"," -0.0494","  0.0303"," -1.6301","  0.1032"
