"","DELTA","SE","TValue","PValue"
"nA2"," -0.8541","  0.6894"," -1.2390","  0.2155"
"nWA2","  0.2928","  0.1721","  1.7013","  0.0890"
"nA2l"," -0.5473","  0.2264"," -2.4174","  0.0157"
"nWA2l","  0.4801","  0.2044","  2.3493","  0.0189"
"nA3","  0.4066","  0.1312","  3.1001","  0.0020"
"nWA3"," -0.3293","  0.1072"," -3.0705","  0.0022"
"nA3l","  0.6445","  0.3023","  2.1319","  0.0331"
"nWA3l"," -0.7431","  0.3039"," -2.4454","  0.0145"
"nLP","  0.0180","  0.5366","  0.0335","  0.9733"
"nB2"," -0.1412","  0.7404"," -0.1907","  0.8488"
"nWB2","  0.1114","  0.1128","  0.9874","  0.3235"
"nB2l"," -0.0362","  0.1515"," -0.2392","  0.8110"
"nWB2l","  0.0701","  0.3478","  0.2017","  0.8402"
"nB3"," -0.2957","  0.0959"," -3.0826","  0.0021"
"nWB3","  0.0492","  0.0846","  0.5818","  0.5608"
"nB3l","  0.0512","  0.6234","  0.0822","  0.9345"
"nWB3l","  0.1950","  0.2114","  0.9227","  0.3563"
"nLE","  0.2134","  0.6153","  0.3468","  0.7288"
"nC2","  0.1099","  0.1754","  0.6264","  0.5311"
"nWC2","  0.0553","  0.2762","  0.2002","  0.8413"
"nC2l"," -0.2687","  0.0904"," -2.9730","  0.0030"
"nWC2l"," -0.4499","  0.1305"," -3.4483","  0.0006"
"nC3","  0.0994","  0.3052","  0.3258","  0.7446"
"nWC3","  0.0616","  0.2871","  0.2147","  0.8300"
"nC3l","  0.0723","  0.1100","  0.6578","  0.5107"
"nWC3l"," -0.2976","  0.1342"," -2.2178","  0.0266"
"nLB"," -0.6772","  0.0444","-15.2471","  0.0000"
