"","V1","V2","V3"
"nA2","-0.8294","-0.8541","-0.8281***"
"","(0.6931)","(0.6894)","(0.0714)"
"nWA2","0.2801*","0.2928*","0.2676***"
"","(0.1513)","(0.1721)","(0.0457)"
"nA2l","-0.5512***","-0.5473**","-1.0855***"
"","(0.2116)","(0.2264)","(0.0948)"
"nWA2l","0.4664**","0.4801**","0.7906***"
"","(0.1942)","(0.2044)","(0.0997)"
"nA3","0.4004***","0.4066***","0.3723***"
"","(0.1296)","(0.1312)","(0.0382)"
"nWA3","-0.3165***","-0.3293***","-0.2322***"
"","(0.0983)","(0.1072)","(0.0475)"
"nA3l","0.6509**","0.6445**","0.7105***"
"","(0.2917)","(0.3023)","(0.1107)"
"nWA3l","-0.7314**","-0.7431**","-0.5864***"
"","(0.2916)","(0.3039)","(0.1351)"
"nLP","-0.0076","0.018","-0.0291"
"","(0.5347)","(0.5366)","(0.0785)"
"Moran I statistic","-0.0595","-0.0232","-0.0597"
""," 0.0000"," 0.0312"," 0.0000"
