"","V1","V2","V3"
"nB2","-0.087","-0.1412","-0.0925"
"","(0.806)","(0.7404)","(0.0676)"
"nWB2","0.0966","0.1114","0.0749"
"","(0.1928)","(0.1128)","(0.0508)"
"nB2l","0.0772","-0.0362","-0.3916***"
"","(0.1425)","(0.1515)","(0.0788)"
"nWB2l","-0.0232","0.0701","-0.5293***"
"","(0.2533)","(0.3478)","(0.0909)"
"nB3","-0.3089***","-0.2957***","-0.2824***"
"","(0.1121)","(0.0959)","(0.033)"
"nWB3","0.0395","0.0492","0.0173"
"","(0.1138)","(0.0846)","(0.0517)"
"nB3l","0.0298","0.0512","-0.2328**"
"","(0.6619)","(0.6234)","(0.0982)"
"nWB3l","0.2187","0.195","-0.1325"
"","(0.3108)","(0.2114)","(0.1627)"
"nLE","0.1704","0.2134","0.1863***"
"","(0.695)","(0.6153)","(0.0608)"
"Moran I statistic"," 0.2145","-0.0202"," 0.0317"
""," 0.0000"," 0.0623"," 0.0027"
