"","V1","V2","V3"
"nC2","0.0805","0.1099","-0.1465*"
"","(0.159)","(0.1754)","(0.0839)"
"nWC2","0.1295","0.0553","0.3126**"
"","(0.2009)","(0.2762)","(0.1388)"
"nC2l","-0.325***","-0.2687***","-0.106"
"","(0.0892)","(0.0904)","(0.0796)"
"nWC2l","-0.405***","-0.4499***","-0.2228**"
"","(0.106)","(0.1305)","(0.0974)"
"nC3","0.1188","0.0994","0.2158***"
"","(0.2694)","(0.3052)","(0.0691)"
"nWC3","0.0272","0.0616","-0.1302"
"","(0.2095)","(0.2871)","(0.137)"
"nC3l","0.0878","0.0723","0.1909**"
"","(0.1199)","(0.11)","(0.0841)"
"nWC3l","-0.2251*","-0.2976**","-0.2813***"
"","(0.1343)","(0.1342)","(0.0998)"
"nLB","-0.591***","-0.6772***","-0.7051***"
"","(0.0387)","(0.0444)","(0.0312)"
"Moran I statistic"," 0.2253","-0.0029","-0.0462"
""," 0.0000"," 0.8068"," 0.0000"
