"","V1","V2","V3"
"waldpea","1.394","1.573","24.7157***"
"","(0.1269)","(0.1111)","(0)"
"waldpba","12.6568***","12.3171***","7.3311***"
"","(2e-04)","(2e-04)","(0.0034)"
"waldppb","0.016","0.0457","1.0977"
"","(0.6829)","(0.5885)","(0.1602)"
"waldpbb","0.0327","0.0874","0.0155"
"","(0.6212)","(0.5178)","(0.6851)"
"waldpcp","0.1676","0.0539","1.567"
"","(0.4363)","(0.5715)","(0.1115)"
"waldpce","0.0134","0.0626","0.6822"
"","(0.6965)","(0.5555)","(0.2311)"
"waldpp","0.1836","0.0997","2.7633"
"","(0.9123)","(0.9514)","(0.2512)"
"waldpe","1.4074","1.6356","24.7181***"
"","(0.4947)","(0.4414)","(0)"
"waldpb","12.661***","12.3216***","7.3487**"
"","(0.0018)","(0.0021)","(0.0254)"
