"","V1","V2","V3"
"waldalpha2","2e-04","0.0012","0.1311"
"","(0.8943)","(0.8342)","(0.4683)"
"waldalpha3","2e-04","0.0011","0.1385"
"","(0.8939)","(0.8358)","(0.4613)"
"waldalpha","2e-04","0.0013","0.1386"
"","(0.9999)","(0.9993)","(0.9331)"
"waldbeta2","0.018","0.0834","1.1744"
"","(0.6735)","(0.5233)","(0.1506)"
"waldbeta3","0.019","0.0431","0.0151"
"","(0.6689)","(0.5946)","(0.6873)"
"waldbeta","0.0396","0.1776","1.4326"
"","(0.9804)","(0.915)","(0.4886)"
"waldgamma2","0.0246","0.0203","0.0237"
"","(0.6469)","(0.6632)","(0.6501)"
"waldgamma3","0.0104","0.0169","0.0234"
"","(0.7148)","(0.6783)","(0.6511)"
"waldgamma","0.0281","0.0713","0.0237"
"","(0.986)","(0.965)","(0.9882)"
"waldallC","13.9844*","14.0419*","10.3719"
"","(0.0515)","(0.0504)","(0.1685)"
