"","DELTA","SE","TValue","PValue"
"(Intercept)","  0.0083","  0.0148","  0.5576","  0.5772"
"y1_l1","  0.0977","  0.5699","  0.1715","  0.8638"
"y2_l1"," -0.9098","  0.7041"," -1.2922","  0.1964"
"Wy2_l1","  0.2231","  0.1499","  1.4889","  0.1366"
"y3_l1","  0.4145","  0.1268","  3.2675","  0.0011"
"Wy3_l1"," -0.3113","  0.0839"," -3.7099","  0.0002"
"MEDHOMVAL1","  0.0253","  0.0346","  0.7324","  0.4640"
"Scale1","  0.0976","  0.0209","  4.6764","  0.0000"
"share1","  0.0041","  0.0149","  0.2757","  0.7828"
"share651","  0.0130","  0.0238","  0.5468","  0.5846"
"rurala1"," -0.0608","  0.0155"," -3.9329","  0.0001"
"ruraln1"," -0.0630","  0.0238"," -2.6418","  0.0083"
"WY21"," -0.0569","  0.0918"," -0.6193","  0.5358"
"y21","  0.0584","  0.0851","  0.6858","  0.4929"
"WY31"," -0.0716","  0.0530"," -1.3511","  0.1768"
"y31","  0.0847","  0.0399","  2.1248","  0.0337"
"(Intercept)"," -0.0022","  0.0198"," -0.1110","  0.9116"
"y1_l2"," -0.0934","  0.8532"," -0.1095","  0.9128"
"Wy1_l2","  0.0107","  0.1794","  0.0598","  0.9524"
"y2_l2","  0.2460","  0.7627","  0.3226","  0.7470"
"y3_l2"," -0.3270","  0.1049"," -3.1165","  0.0018"
"Wy3_l2","  0.0961","  0.0849","  1.1315","  0.2579"
"hwy2","  0.1123","  0.1080","  1.0397","  0.2986"
"EDUC2"," -0.0160","  0.0409"," -0.3918","  0.6952"
"wagesA.20082","  0.0521","  0.0395","  1.3207","  0.1867"
"taxwageA.20082","  0.0230","  0.0301","  0.7615","  0.4464"
"UNrate2"," -0.0459","  0.0149"," -3.0701","  0.0022"
"rurala2","  0.0304","  0.0253","  1.2021","  0.2294"
"ruraln2","  0.0196","  0.0284","  0.6896","  0.4905"
"WY12"," -0.1305","  0.0987"," -1.3216","  0.1864"
"y12","  0.0881","  0.1289","  0.6836","  0.4943"
"WY32","  0.0663","  0.0601","  1.1033","  0.2700"
"y32","  0.0133","  0.0534","  0.2498","  0.8027"
"(Intercept)"," -0.0016","  0.0169"," -0.0972","  0.9226"
"y1_l3","  0.2092","  0.2028","  1.0317","  0.3023"
"Wy1_l3","  0.1807","  0.2077","  0.8702","  0.3842"
"y2_l3","  0.0954","  0.2896","  0.3294","  0.7419"
"Wy2_l3"," -0.0424","  0.2240"," -0.1893","  0.8499"
"y3_l3"," -0.5758","  0.0429","-13.4350","  0.0000"
"tpi3","  0.0340","  0.0169","  2.0122","  0.0443"
"MEDHHINC3","  0.0187","  0.0228","  0.8200","  0.4123"
"share3"," -0.0322","  0.0187"," -1.7222","  0.0851"
"hwy3"," -0.0339","  0.0483"," -0.7026","  0.4823"
"wagesA.20083","  0.1146","  0.0333","  3.4408","  0.0006"
"permitunit3","  0.0359","  0.0902","  0.3976","  0.6909"
"rurala3","  0.0157","  0.0237","  0.6633","  0.5072"
"ruraln3"," -0.0154","  0.0258"," -0.5971","  0.5505"
"WY13"," -0.0691","  0.0619"," -1.1155","  0.2647"
"y13","  0.0579","  0.0518","  1.1176","  0.2638"
"WY23"," -0.0204","  0.0542"," -0.3769","  0.7063"
"y23","  0.0244","  0.0646","  0.3776","  0.7057"
