"","DELTA","SE","TValue","PValue"
"nA2","-0.5004"," 0.6756","-0.7406"," 0.4590"
"nWA2"," 0.4217"," 0.2610"," 1.6161"," 0.1061"
"nA2l","-1.3172"," 0.7961","-1.6545"," 0.0981"
"nWA2l"," 0.5685"," 0.6162"," 0.9226"," 0.3562"
"nA3"," 0.7058"," 0.2686"," 2.6283"," 0.0086"
"nWA3","-0.5018"," 0.2953","-1.6989"," 0.0894"
"nA3l"," 1.0873"," 0.5627"," 1.9322"," 0.0534"
"nWA3l","-0.7787"," 0.5962","-1.3061"," 0.1916"
"nLP","-0.4858"," 0.8741","-0.5557"," 0.5784"
"nB2","-0.2669"," 0.6615","-0.4034"," 0.6866"
"nWB2"," 0.1866"," 0.3110"," 0.6002"," 0.5484"
"nB2l","-0.5808"," 0.5525","-1.0512"," 0.2932"
"nWB2l","-0.1279"," 0.2884","-0.4436"," 0.6574"
"nB3"," 0.3434"," 0.2446"," 1.4039"," 0.1604"
"nWB3","-0.2546"," 0.2607","-0.9769"," 0.3287"
"nB3l"," 0.6802"," 0.1831"," 3.7155"," 0.0002"
"nWB3l","-0.2485"," 0.3727","-0.6668"," 0.5049"
"nLE","-0.2880"," 0.4781","-0.6022"," 0.5470"
"nC2"," 0.1931"," 0.6503"," 0.2969"," 0.7666"
"nWC2"," 0.2192"," 0.9566"," 0.2292"," 0.8187"
"nC2l"," 0.1537"," 0.3308"," 0.4645"," 0.6423"
"nWC2l","-0.1402"," 0.3313","-0.4233"," 0.6721"
"nC3"," 0.0148"," 0.5163"," 0.0287"," 0.9771"
"nWC3","-0.1886"," 0.9971","-0.1892"," 0.8500"
"nC3l"," 0.9130"," 0.2700"," 3.3820"," 0.0007"
"nWC3l","-0.5171"," 0.3352","-1.5426"," 0.1230"
"nLB","-0.5086"," 0.1119","-4.5454"," 0.0000"
