"","DELTA","SE","TValue","PValue"
"(Intercept)"," 0.0146"," 0.0285"," 0.5129"," 0.6081"
"y1_l1","-0.1064"," 0.4157","-0.2559"," 0.7981"
"y2_l1","-0.8335"," 0.3474","-2.3991"," 0.0165"
"Wy2_l1"," 0.5263"," 0.1372"," 3.8374"," 0.0001"
"y3_l1"," 0.7165"," 0.1774"," 4.0385"," 0.0001"
"Wy3_l1","-0.7319"," 0.1625","-4.5041"," 0.0000"
"MEDHOMVAL1"," 0.0377"," 0.0412"," 0.9156"," 0.3600"
"Scale1"," 0.0446"," 0.0330"," 1.3513"," 0.1767"
"share1"," 0.0192"," 0.0305"," 0.6314"," 0.5278"
"share651"," 0.0051"," 0.0270"," 0.1891"," 0.8501"
"rurala1","-0.0215"," 0.0291","-0.7366"," 0.4614"
"ruraln1","-0.0363"," 0.0328","-1.1074"," 0.2682"
"WY21"," 0.0042"," 0.3028"," 0.0138"," 0.9890"
"y21","-0.3538"," 0.2737","-1.2929"," 0.1961"
"WY31","-0.8645"," 0.3010","-2.8725"," 0.0041"
"y31"," 0.7154"," 0.2893"," 2.4733"," 0.0134"
"rho"," 0.3040"," 0.1697"," 1.7908"," 0.0734"
"(Intercept)","-0.0045"," 0.0284","-0.1595"," 0.8733"
"y1_l2","-0.1873"," 0.6423","-0.2916"," 0.7706"
"Wy1_l2"," 0.1675"," 0.2563"," 0.6536"," 0.5134"
"y2_l2"," 0.0823"," 0.4179"," 0.1969"," 0.8439"
"y3_l2","-0.0826"," 0.1737","-0.4755"," 0.6344"
"Wy3_l2","-0.0515"," 0.1819","-0.2831"," 0.7771"
"hwy2"," 0.0738"," 0.0914"," 0.8079"," 0.4192"
"EDUC2"," 0.0207"," 0.0648"," 0.3202"," 0.7489"
"wagesA.20082"," 0.0195"," 0.0344"," 0.5668"," 0.5709"
"taxwageA.20082"," 0.0057"," 0.0426"," 0.1342"," 0.8932"
"UNrate2","-0.0274"," 0.0275","-0.9952"," 0.3197"
"rurala2"," 0.0235"," 0.0244"," 0.9615"," 0.3364"
"ruraln2"," 0.0198"," 0.0274"," 0.7223"," 0.4702"
"WY12"," 0.0322"," 0.1307"," 0.2461"," 0.8056"
"y12","-0.1401"," 0.4041","-0.3467"," 0.7288"
"WY32"," 0.0168"," 0.2818"," 0.0596"," 0.9524"
"y32"," 0.2564"," 0.1344"," 1.9072"," 0.0566"
"rho"," 0.3919"," 0.0775"," 5.0590"," 0.0000"
"(Intercept)","-0.0052"," 0.0334","-0.1558"," 0.8762"
"y1_l3","-0.1397"," 0.4260","-0.3279"," 0.7430"
"Wy1_l3"," 0.1159"," 0.5564"," 0.2084"," 0.8349"
"y2_l3","-0.1670"," 0.3088","-0.5407"," 0.5888"
"Wy2_l3"," 0.0399"," 0.6000"," 0.0665"," 0.9469"
"y3_l3","-0.5209"," 0.0749","-6.9527"," 0.0000"
"tpi3"," 0.0193"," 0.0149"," 1.2974"," 0.1946"
"MEDHHINC3"," 0.0780"," 0.0379"," 2.0593"," 0.0396"
"share3","-0.0721"," 0.0275","-2.6200"," 0.0088"
"hwy3","-0.0747"," 0.0497","-1.5041"," 0.1326"
"wagesA.20083"," 0.1105"," 0.0357"," 3.0930"," 0.0020"
"permitunit3"," 0.4300"," 0.2241"," 1.9191"," 0.0551"
"rurala3","-0.0140"," 0.0246","-0.5687"," 0.5696"
"ruraln3","-0.0181"," 0.0304","-0.5968"," 0.5507"
"WY13","-0.3026"," 0.2027","-1.4931"," 0.1355"
"y13","-0.4191"," 0.2096","-1.9991"," 0.0457"
"WY23","-0.6155"," 0.2211","-2.7840"," 0.0054"
"y23"," 0.3146"," 0.2803"," 1.1222"," 0.2619"
"rho"," 0.4780"," 0.1012"," 4.7244"," 0.0000"
