"","V1","V2","V3"
"nA2","-0.9098","-0.8335**","-0.5004"
"","(0.7041)","(0.3474)","(0.6756)"
"nWA2","0.2231","0.5263***","0.4217"
"","(0.1499)","(0.1372)","(0.261)"
"nA2l","0.0584","-0.3538","-1.3172*"
"","(0.0851)","(0.2737)","(0.7961)"
"nWA2l","-0.0569","0.0042","0.5685"
"","(0.0918)","(0.3028)","(0.6162)"
"nA3","0.4145***","0.7165***","0.7058***"
"","(0.1268)","(0.1774)","(0.2686)"
"nWA3","-0.3113***","-0.7319***","-0.5018*"
"","(0.0839)","(0.1625)","(0.2953)"
"nA3l","0.0847**","0.7154**","1.0873*"
"","(0.0399)","(0.2893)","(0.5627)"
"nWA3l","-0.0716","-0.8645***","-0.7787"
"","(0.053)","(0.301)","(0.5962)"
"nLP","0.0977","-0.1064","-0.4858"
"","(0.5699)","(0.4157)","(0.8741)"
"Moran I statistic"," 0.1386","-0.0108","-0.1566"
""," 0.0000"," 0.3253"," 0.0000"
