"","V1","V2","V3"
"waldpea","1.2054","3.6506**","0.3207"
"","(0.1469)","(0.0284)","(0.3451)"
"waldpba","19.2463***","12.1945***","1.6094"
"","(0)","(2e-04)","(0.1081)"
"waldppb","0.0068","0.1234","0.1195"
"","(0.7433)","(0.4759)","(0.48)"
"waldpbb","1.7722*","0.016","0.7257"
"","(0.0962)","(0.6828)","(0.2217)"
"waldpcp","0.4216","0.024","0.0347"
"","(0.3044)","(0.649)","(0.6155)"
"waldpce","0.03","0.0037","7e-04"
"","(0.6291)","(0.7791)","(0.8555)"
"waldpp","0.4285","0.1475","0.1417"
"","(0.8072)","(0.9289)","(0.9316)"
"waldpe","1.2354","3.6543","0.321"
"","(0.5392)","(0.1609)","(0.8517)"
"waldpb","19.2594***","12.22***","1.6099"
"","(1e-04)","(0.0022)","(0.4471)"
