"","V1","V2","V3"
"waldalpha2","0.0358","0.0542","0.0689"
"","(0.6125)","(0.5709)","(0.545)"
"waldalpha3","0.0294","0.0612","0.0856"
"","(0.6311)","(0.558)","(0.5202)"
"waldalpha","0.0569","0.0642","0.0857"
"","(0.9719)","(0.9684)","(0.9581)"
"waldbeta2","0.002","0.0399","0.0184"
"","(0.8101)","(0.602)","(0.6714)"
"waldbeta3","0.0862","0.0158","0.0265"
"","(0.5195)","(0.6836)","(0.6404)"
"waldbeta","0.2322","0.0427","0.0275"
"","(0.8904)","(0.9789)","(0.9863)"
"waldgamma2","0.4503","0.0301","0.0248"
"","(0.2944)","(0.629)","(0.6464)"
"waldgamma3","0.0239","0.0048","0.001"
"","(0.6494)","(0.765)","(0.8424)"
"waldgamma","0.4631","0.0575","0.0489"
"","(0.7933)","(0.9717)","(0.9758)"
"waldallC","21.5648***","12.6845*","3.0665"
"","(0.003)","(0.0802)","(0.8788)"
