"","DELTA","SE","TValue","PValue"
"WY21h"," -0.1881","  0.2869"," -0.6557","  0.5121"
"y21h"," -1.0471","  0.2840"," -3.6871","  0.0002"
"WY31h"," -0.6298","  0.1711"," -3.6813","  0.0002"
"y31h","  0.1009","  0.1383","  0.7298","  0.4655"
"y1_l1"," -0.8563","  0.5075"," -1.6872","  0.0917"
"y2_l1"," -0.4993","  0.3927"," -1.2714","  0.2037"
"Wy2_l1","  0.4266","  0.2645","  1.6125","  0.1070"
"y3_l1","  0.2878","  0.1235","  2.3303","  0.0199"
"Wy3_l1"," -0.5605","  0.1332"," -4.2086","  0.0000"
"ones1","  0.0079","  0.0133","  0.5950","  0.5519"
"MEDHOMVAL1"," -0.0068","  0.0410"," -0.1649","  0.8691"
"BLACK1"," -0.0721","  0.0185"," -3.8971","  0.0001"
"Scale1"," -0.0492","  0.0264"," -1.8638","  0.0624"
"share1","  0.0288","  0.0181","  1.5924","  0.1114"
"share651"," -0.0907","  0.0215"," -4.2260","  0.0000"
"WY12h"," -0.0913","  0.1094"," -0.8346","  0.4040"
"y12h","  0.0080","  0.0742","  0.1084","  0.9137"
"WY32h","  0.0265","  0.1734","  0.1527","  0.8786"
"y32h","  0.0408","  0.2905","  0.1405","  0.8883"
"y1_l2"," -0.2959","  0.2398"," -1.2342","  0.2172"
"Wy1_l2"," -0.0541","  0.1057"," -0.5117","  0.6089"
"y2_l2"," -0.7375","  0.2129"," -3.4640","  0.0005"
"y3_l2","  0.0609","  0.1940","  0.3140","  0.7535"
"Wy3_l2","  0.0032","  0.1390","  0.0229","  0.9817"
"ones2","  0.0014","  0.0079","  0.1741","  0.8618"
"hwy2","  0.1082","  0.0448","  2.4176","  0.0157"
"EDUC2","  0.0094","  0.0310","  0.3046","  0.7607"
"wagesA.20082","  0.0131","  0.0331","  0.3951","  0.6928"
"taxwageA.20082"," -0.0181","  0.0111"," -1.6378","  0.1016"
"UNrate2"," -0.0291","  0.0151"," -1.9269","  0.0541"
"WY13h"," -0.3579","  0.1026"," -3.4864","  0.0005"
"y13h"," -0.4414","  0.1124"," -3.9280","  0.0001"
"WY23h"," -0.1477","  0.1059"," -1.3945","  0.1633"
"y23h","  0.0460","  0.1436","  0.3201","  0.7489"
"y1_l3","  0.0128","  0.1521","  0.0843","  0.9328"
"Wy1_l3","  0.0281","  0.2283","  0.1230","  0.9021"
"y2_l3","  0.2390","  0.1101","  2.1700","  0.0301"
"Wy2_l3","  0.1091","  0.2614","  0.4174","  0.6764"
"y3_l3"," -0.5784","  0.0379","-15.2551","  0.0000"
"ones3"," -0.0008","  0.0164"," -0.0493","  0.9607"
"tpi3"," -0.0027","  0.0128"," -0.2101","  0.8336"
"MEDHHINC3","  0.0860","  0.0300","  2.8704","  0.0041"
"share3"," -0.0571","  0.0181"," -3.1593","  0.0016"
"hwy3"," -0.2011","  0.0390"," -5.1585","  0.0000"
"wagesA.20083","  0.0811","  0.0275","  2.9535","  0.0032"
"permitunit3","  0.0987","  0.0997","  0.9895","  0.3225"
