"","DELTA","SE","TValue","PValue"
"nA2"," -0.4993","  0.3927"," -1.2714","  0.2037"
"nWA2","  0.4266","  0.2645","  1.6125","  0.1070"
"nA2l"," -1.0471","  0.2840"," -3.6871","  0.0002"
"nWA2l"," -0.1881","  0.2869"," -0.6557","  0.5121"
"nA3","  0.2878","  0.1235","  2.3303","  0.0199"
"nWA3"," -0.5605","  0.1332"," -4.2086","  0.0000"
"nA3l","  0.1009","  0.1383","  0.7298","  0.4655"
"nWA3l"," -0.6298","  0.1711"," -3.6813","  0.0002"
"nLP"," -0.8563","  0.5075"," -1.6872","  0.0917"
"nB2"," -0.2959","  0.2398"," -1.2342","  0.2172"
"nWB2"," -0.0541","  0.1057"," -0.5117","  0.6089"
"nB2l","  0.0080","  0.0742","  0.1084","  0.9137"
"nWB2l"," -0.0913","  0.1094"," -0.8346","  0.4040"
"nB3","  0.0609","  0.1940","  0.3140","  0.7535"
"nWB3","  0.0032","  0.1390","  0.0229","  0.9817"
"nB3l","  0.0408","  0.2905","  0.1405","  0.8883"
"nWB3l","  0.0265","  0.1734","  0.1527","  0.8786"
"nLE"," -0.7375","  0.2129"," -3.4640","  0.0005"
"nC2","  0.0128","  0.1521","  0.0843","  0.9328"
"nWC2","  0.0281","  0.2283","  0.1230","  0.9021"
"nC2l"," -0.4414","  0.1124"," -3.9280","  0.0001"
"nWC2l"," -0.3579","  0.1026"," -3.4864","  0.0005"
"nC3","  0.2390","  0.1101","  2.1700","  0.0301"
"nWC3","  0.1091","  0.2614","  0.4174","  0.6764"
"nC3l","  0.0460","  0.1436","  0.3201","  0.7489"
"nWC3l"," -0.1477","  0.1059"," -1.3945","  0.1633"
"nLB"," -0.5784","  0.0379","-15.2551","  0.0000"
