"","DELTA","SE","TValue","PValue"
"nA2"," -0.3996","  0.0696"," -5.7417","  0.0000"
"nWA2","  0.1760","  0.0703","  2.5025","  0.0124"
"nA2l"," -0.9512","  0.0652","-14.5939","  0.0000"
"nWA2l"," -0.4663","  0.1109"," -4.2068","  0.0000"
"nA3","  0.6256","  0.0910","  6.8772","  0.0000"
"nWA3"," -0.8127","  0.1085"," -7.4875","  0.0000"
"nA3l","  0.6459","  0.1222","  5.2834","  0.0000"
"nWA3l"," -0.9018","  0.1716"," -5.2559","  0.0000"
"nLP"," -1.0237","  0.0708","-14.4658","  0.0000"
"nB2"," -0.2907","  0.0203","-14.3053","  0.0000"
"nWB2"," -0.0512","  0.0180"," -2.8499","  0.0044"
"nB2l"," -0.0927","  0.0227"," -4.0757","  0.0000"
"nWB2l"," -0.0777","  0.0285"," -2.7300","  0.0064"
"nB3","  0.0881","  0.0192","  4.5766","  0.0000"
"nWB3"," -0.0258","  0.0246"," -1.0495","  0.2940"
"nB3l","  0.0558","  0.0266","  2.1003","  0.0358"
"nWB3l"," -0.0750","  0.0435"," -1.7234","  0.0849"
"nLE"," -0.7523","  0.0201","-37.3513","  0.0000"
"nC2"," -0.0054","  0.0636"," -0.0841","  0.9329"
"nWC2","  0.0600","  0.1321","  0.4539","  0.6499"
"nC2l"," -0.1567","  0.0978"," -1.6019","  0.1092"
"nWC2l"," -0.3100","  0.0996"," -3.1131","  0.0019"
"nC3","  0.2482","  0.0639","  3.8846","  0.0001"
"nWC3","  0.0560","  0.1430","  0.3915","  0.6954"
"nC3l"," -0.1389","  0.1307"," -1.0626","  0.2880"
"nWC3l"," -0.0731","  0.1013"," -0.7212","  0.4708"
"nLB"," -0.6719","  0.0329","-20.4116","  0.0000"
