"","DELTA","SE","TValue","PValue"
"WY21h"," -0.3498","  0.2266"," -1.5439","  0.1227"
"y21h"," -0.9876","  0.1992"," -4.9586","  0.0000"
"WY31h"," -0.8292","  0.1771"," -4.6825","  0.0000"
"y31h","  0.5221","  0.1136","  4.5963","  0.0000"
"y1_l1"," -1.0413","  0.3367"," -3.0925","  0.0020"
"y2_l1"," -0.3687","  0.1685"," -2.1879","  0.0288"
"Wy2_l1","  0.2687","  0.1706","  1.5754","  0.1153"
"y3_l1","  0.5372","  0.0992","  5.4135","  0.0000"
"Wy3_l1"," -0.7981","  0.1199"," -6.6550","  0.0000"
"ones1","  0.0167","  0.0147","  1.1318","  0.2578"
"UNrate1","  0.0715","  0.0229","  3.1162","  0.0018"
"MEDHOMVAL1"," -0.2172","  0.0490"," -4.4357","  0.0000"
"MEDHHINC1","  0.3569","  0.0411","  8.6836","  0.0000"
"BLACK1"," -0.0092","  0.0225"," -0.4092","  0.6824"
"Scale1","  0.0252","  0.0270","  0.9336","  0.3506"
"share1","  0.0549","  0.0169","  3.2565","  0.0011"
"WY12h"," -0.0534","  0.1163"," -0.4589","  0.6463"
"y12h"," -0.0267","  0.0614"," -0.4360","  0.6629"
"WY32h"," -0.0698","  0.1648"," -0.4236","  0.6719"
"y32h","  0.0542","  0.2468","  0.2197","  0.8261"
"y1_l2"," -0.2995","  0.2122"," -1.4116","  0.1582"
"Wy1_l2"," -0.0460","  0.1087"," -0.4231","  0.6723"
"y2_l2"," -0.7346","  0.1864"," -3.9408","  0.0001"
"y3_l2","  0.0767","  0.1700","  0.4512","  0.6518"
"Wy3_l2"," -0.0161","  0.1316"," -0.1220","  0.9029"
"ones2"," -0.0011","  0.0127"," -0.0852","  0.9321"
"hwy2","  0.0668","  0.0392","  1.7048","  0.0883"
"EDUC2","  0.0127","  0.0374","  0.3384","  0.7351"
"wagesA.20082"," -0.0263","  0.0101"," -2.6069","  0.0092"
"taxwageA.20082"," -0.0072","  0.0222"," -0.3234","  0.7464"
"UNrate2"," -0.0045","  0.0096"," -0.4693","  0.6389"
"WY13h"," -0.3172","  0.1270"," -2.4982","  0.0125"
"y13h"," -0.1991","  0.1239"," -1.6069","  0.1082"
"WY23h"," -0.0808","  0.1111"," -0.7272","  0.4672"
"y23h"," -0.1768","  0.1816"," -0.9732","  0.3306"
"y1_l3","  0.0011","  0.1565","  0.0072","  0.9942"
"Wy1_l3","  0.0081","  0.2652","  0.0307","  0.9755"
"y2_l3","  0.2436","  0.1124","  2.1672","  0.0303"
"Wy2_l3","  0.0928","  0.3071","  0.3022","  0.7625"
"y3_l3"," -0.6717","  0.0415","-16.1862","  0.0000"
"ones3"," -0.0078","  0.0284"," -0.2739","  0.7842"
"tpi3"," -0.0009","  0.0116"," -0.0737","  0.9413"
"MEDHHINC3","  0.1143","  0.0372","  3.0718","  0.0021"
"share3"," -0.0854","  0.0210"," -4.0566","  0.0001"
"hwy3"," -0.1020","  0.0511"," -1.9946","  0.0462"
"wagesA.20083"," -0.0178","  0.0235"," -0.7590","  0.4479"
"permitunit3","  0.0105","  0.1312","  0.0798","  0.9364"
