"","DELTA","SE","TValue","PValue"
"nA2"," -0.4789","  0.3265"," -1.4667","  0.1426"
"nWA2","  0.3821","  0.1709","  2.2364","  0.0254"
"nA2l"," -1.0386","  0.2626"," -3.9552","  0.0001"
"nWA2l"," -0.1610","  0.2486"," -0.6476","  0.5173"
"nA3","  0.3218","  0.1167","  2.7580","  0.0059"
"nWA3"," -0.5422","  0.1355"," -4.0003","  0.0001"
"nA3l","  0.1436","  0.1318","  1.0889","  0.2763"
"nWA3l"," -0.6117","  0.1819"," -3.3621","  0.0008"
"nLP"," -0.8867","  0.4478"," -1.9803","  0.0478"
"nB2"," -0.2897","  0.2073"," -1.3973","  0.1624"
"nWB2"," -0.0507","  0.1091"," -0.4644","  0.6424"
"nB2l"," -0.0588","  0.0883"," -0.6659","  0.5056"
"nWB2l"," -0.0505","  0.1415"," -0.3571","  0.7210"
"nB3","  0.0842","  0.1926","  0.4374","  0.6619"
"nWB3"," -0.0053","  0.1116"," -0.0475","  0.9621"
"nB3l","  0.0472","  0.2838","  0.1662","  0.8680"
"nWB3l"," -0.0172","  0.1152"," -0.1490","  0.8815"
"nLE"," -0.7426","  0.1740"," -4.2687","  0.0000"
"nC2","  0.0467","  0.1753","  0.2663","  0.7900"
"nWC2","  0.0380","  0.3131","  0.1215","  0.9033"
"nC2l"," -0.3813","  0.1323"," -2.8834","  0.0040"
"nWC2l"," -0.3359","  0.1315"," -2.5552","  0.0107"
"nC3","  0.1972","  0.1449","  1.3610","  0.1736"
"nWC3","  0.0373","  0.3604","  0.1036","  0.9175"
"nC3l","  0.1189","  0.1872","  0.6349","  0.5256"
"nWC3l"," -0.1429","  0.1151"," -1.2411","  0.2147"
"nLB"," -0.6473","  0.0428","-15.1350","  0.0000"
