"","V1","V2","V3"
"nB2","-0.2913","-0.2889","-0.2679***"
"","(0.2299)","(0.1961)","(0.0221)"
"nWB2","-0.0501","-0.0499","-0.0651***"
"","(0.0907)","(0.0934)","(0.0174)"
"nB2l","-0.0174","-0.1133*","-0.3023***"
"","(0.0523)","(0.06)","(0.0231)"
"nWB2l","-0.0822","-0.0755","-0.1174***"
"","(0.1086)","(0.141)","(0.0265)"
"nB3","0.0427","0.0506","0.0403***"
"","(0.0482)","(0.0451)","(0.0119)"
"nWB3","9e-04","0.0109","-0.0054"
"","(0.0518)","(0.0491)","(0.0188)"
"nB3l","0.051","0.0056","-0.0432"
"","(0.2233)","(0.2065)","(0.0352)"
"nWB3l","-0.0081","-0.0547","-0.0888"
"","(0.1086)","(0.0837)","(0.0582)"
"nLE","-0.7411***","-0.7366***","-0.7848***"
"","(0.2103)","(0.171)","(0.0218)"
"Moran I statistic","0.2053","0.0063","0.0026"
"","0.0000","0.5322","0.7833"
