"","V1","V2","V3"
"nC2","-0.0082","0.0304","0.0567"
"","(0.1282)","(0.159)","(0.0653)"
"nWC2","-0.0076","0.016","-0.1303"
"","(0.2313)","(0.2822)","(0.1296)"
"nC2l","-0.2886***","-0.2451**","-0.356***"
"","(0.1104)","(0.1212)","(0.0953)"
"nWC2l","-0.3927***","-0.3814***","-0.3983***"
"","(0.1056)","(0.1298)","(0.0986)"
"nC3","0.2492**","0.2122*","0.1884***"
"","(0.097)","(0.1273)","(0.0659)"
"nWC3","0.2036","0.1271","0.2355*"
"","(0.2663)","(0.3311)","(0.1409)"
"nC3l","-0.14","-0.1442","-0.287**"
"","(0.148)","(0.1839)","(0.135)"
"nWC3l","0.0013","0.0104","0.0034"
"","(0.1075)","(0.1147)","(0.0989)"
"nLB","-0.604***","-0.6887***","-0.6923***"
"","(0.0345)","(0.0392)","(0.0311)"
"Moran I statistic"," 0.2244","-0.0070"," 0.0025"
""," 0.0000"," 0.5291"," 0.7888"
