"","V1","V2","V3"
"waldalpha2","0.0055","0.0118","0.3375"
"","(0.7574)","(0.7059)","(0.3376)"
"waldalpha3","0.0055","0.012","0.2878"
"","(0.7567)","(0.7047)","(0.361)"
"waldalpha","0.0055","0.012","0.3415"
"","(0.9972)","(0.994)","(0.843)"
"waldbeta2","5e-04","0.0048","0.2476"
"","(0.8654)","(0.7647)","(0.3826)"
"waldbeta3","4e-04","0.0111","0.0485"
"","(0.8761)","(0.7102)","(0.5824)"
"waldbeta","0.0014","0.0127","0.2621"
"","(0.9993)","(0.9937)","(0.8772)"
"waldgamma2","4e-04","0.0021","0.0483"
"","(0.8728)","(0.8087)","(0.583)"
"waldgamma3","9e-04","0.0146","0.055"
"","(0.8455)","(0.6901)","(0.5695)"
"waldgamma","9e-04","0.0167","0.0564"
"","(0.9996)","(0.9917)","(0.9722)"
"waldallC","6.2617","2.4704","5.8244"
"","(0.5095)","(0.9293)","(0.5604)"
