"","DELTA","SE","TValue","PValue"
"nA2","  0.3245","  0.7231","  0.4487","  0.6537"
"nWA2"," -0.1929","  0.3330"," -0.5794","  0.5623"
"nA2l","  0.6734","  0.3819","  1.7633","  0.0779"
"nWA2l"," -0.5513","  0.3062"," -1.8008","  0.0718"
"nA3","  0.4455","  0.1698","  2.6236","  0.0087"
"nWA3"," -0.3325","  0.1030"," -3.2277","  0.0013"
"nA3l","  0.0864","  0.0382","  2.2606","  0.0239"
"nWA3l"," -0.0925","  0.0537"," -1.7229","  0.0850"
"nLP"," -0.5019","  0.7142"," -0.7028","  0.4823"
"nB2"," -0.2058","  0.2570"," -0.8006","  0.4235"
"nWB2"," -0.1355","  0.0930"," -1.4570","  0.1452"
"nB2l","  0.1194","  0.0526","  2.2697","  0.0233"
"nWB2l"," -0.0813","  0.0445"," -1.8249","  0.0681"
"nB3"," -0.0164","  0.0307"," -0.5365","  0.5917"
"nWB3","  0.0742","  0.0435","  1.7044","  0.0884"
"nB3l"," -0.0073","  0.0123"," -0.5936","  0.5528"
"nWB3l","  0.0177","  0.0198","  0.8908","  0.3731"
"nLE"," -0.7234","  0.2575"," -2.8093","  0.0050"
"nC2","  0.1055","  0.1197","  0.8813","  0.3782"
"nWC2"," -0.0486","  0.2401"," -0.2025","  0.8395"
"nC2l","  0.0776","  0.0418","  1.8568","  0.0634"
"nWC2l"," -0.0729","  0.0602"," -1.2102","  0.2263"
"nC3","  0.2391","  0.1139","  2.0983","  0.0360"
"nWC3","  0.2221","  0.2715","  0.8179","  0.4135"
"nC3l"," -0.0340","  0.1096"," -0.3101","  0.7565"
"nWC3l"," -0.0018","  0.1714"," -0.0104","  0.9917"
"nLB"," -0.5926","  0.0341","-17.3753","  0.0000"
