"","DELTA","SE","TValue","PValue"
"nA2"," 0.5963"," 0.5844"," 1.0203"," 0.3076"
"nWA2","-0.3877"," 0.7798","-0.4972"," 0.6191"
"nA2l"," 1.3441"," 0.8016"," 1.6767"," 0.0937"
"nWA2l","-1.0572"," 0.8148","-1.2975"," 0.1945"
"nA3"," 0.9416"," 0.1997"," 4.7147"," 0.0000"
"nWA3","-0.8345"," 0.1935","-4.3129"," 0.0000"
"nA3l"," 0.8722"," 0.2220"," 3.9295"," 0.0001"
"nWA3l","-1.0421"," 0.2412","-4.3204"," 0.0000"
"nLP","-0.3483"," 0.4906","-0.7100"," 0.4777"
"nB2","-0.2515"," 0.1687","-1.4914"," 0.1359"
"nWB2","-0.1097"," 0.0965","-1.1366"," 0.2558"
"nB2l"," 0.0816"," 0.1257"," 0.6491"," 0.5163"
"nWB2l"," 0.0138"," 0.0603"," 0.2289"," 0.8189"
"nB3"," 0.0962"," 0.0527"," 1.8236"," 0.0683"
"nWB3"," 0.0554"," 0.0817"," 0.6788"," 0.4973"
"nB3l"," 0.1145"," 0.0459"," 2.4964"," 0.0126"
"nWB3l"," 0.0480"," 0.1286"," 0.3732"," 0.7090"
"nLE","-0.7418"," 0.1347","-5.5088"," 0.0000"
"nC2","-0.0005"," 0.4239","-0.0011"," 0.9991"
"nWC2"," 0.2891"," 1.0615"," 0.2723"," 0.7854"
"nC2l","-0.4579"," 0.3192","-1.4346"," 0.1515"
"nWC2l"," 0.0238"," 0.1484"," 0.1606"," 0.8724"
"nC3"," 1.0899"," 0.4116"," 2.6480"," 0.0081"
"nWC3","-0.7449"," 1.1901","-0.6259"," 0.5314"
"nC3l"," 1.5219"," 0.7447"," 2.0435"," 0.0411"
"nWC3l","-0.9148"," 0.6348","-1.4410"," 0.1496"
"nLB","-0.6750"," 0.0732","-9.2151"," 0.0000"
