"","DELTA","SE","TValue","PValue"
"nA2","  0.4151","  0.5291","  0.7846","  0.4328"
"nWA2"," -0.3208","  0.6400"," -0.5012","  0.6163"
"nA2l","  1.0122","  0.6774","  1.4944","  0.1352"
"nWA2l"," -1.1418","  0.6797"," -1.6799","  0.0931"
"nA3","  0.9216","  0.2123","  4.3419","  0.0000"
"nWA3"," -0.9794","  0.2036"," -4.8107","  0.0000"
"nA3l","  0.7797","  0.2517","  3.0975","  0.0020"
"nWA3l"," -1.2950","  0.2761"," -4.6905","  0.0000"
"nLP"," -0.4667","  0.4053"," -1.1515","  0.2496"
"nB2"," -0.2629","  0.1605"," -1.6383","  0.1015"
"nWB2"," -0.1193","  0.0998"," -1.1956","  0.2319"
"nB2l","  0.0505","  0.1272","  0.3967","  0.6916"
"nWB2l"," -0.0106","  0.0537"," -0.1965","  0.8442"
"nB3","  0.0675","  0.0572","  1.1795","  0.2383"
"nWB3","  0.0671","  0.0839","  0.8000","  0.4238"
"nB3l","  0.0592","  0.0433","  1.3668","  0.1718"
"nWB3l","  0.0990","  0.1292","  0.7661","  0.4437"
"nLE"," -0.7383","  0.1228"," -6.0141","  0.0000"
"nC2"," -0.2142","  0.3024"," -0.7081","  0.4790"
"nWC2"," -0.0825","  0.6379"," -0.1294","  0.8971"
"nC2l"," -0.4616","  0.2099"," -2.1991","  0.0279"
"nWC2l"," -0.0687","  0.1172"," -0.5865","  0.5576"
"nC3","  0.4979","  0.3400","  1.4644","  0.1432"
"nWC3"," -0.5498","  0.6511"," -0.8445","  0.3985"
"nC3l","  0.6406","  0.5831","  1.0986","  0.2720"
"nWC3l"," -0.9888","  0.6663"," -1.4840","  0.1379"
"nLB"," -0.5989","  0.0525","-11.4021","  0.0000"
