"","V1","V2","V3"
"nB2","-0.2058","-0.2629","-0.2515"
"","(0.257)","(0.1605)","(0.1687)"
"nWB2","-0.1355","-0.1193","-0.1097"
"","(0.093)","(0.0998)","(0.0965)"
"nB2l","0.1194**","0.0505","0.0816"
"","(0.0526)","(0.1272)","(0.1257)"
"nWB2l","-0.0813*","-0.0106","0.0138"
"","(0.0445)","(0.0537)","(0.0603)"
"nB3","-0.0164","0.0675","0.0962*"
"","(0.0307)","(0.0572)","(0.0527)"
"nWB3","0.0742*","0.0671","0.0554"
"","(0.0435)","(0.0839)","(0.0817)"
"nB3l","-0.0073","0.0592","0.1145**"
"","(0.0123)","(0.0433)","(0.0459)"
"nWB3l","0.0177","0.099","0.048"
"","(0.0198)","(0.1292)","(0.1286)"
"nLE","-0.7234***","-0.7383***","-0.7418***"
"","(0.2575)","(0.1228)","(0.1347)"
"Moran I statistic","0.2062","0.0210","0.0010"
"","0.0000","0.0454","0.9029"
