"","V1","V2","V3"
"nC2","0.1055","-0.2142","-5e-04"
"","(0.1197)","(0.3024)","(0.4239)"
"nWC2","-0.0486","-0.0825","0.2891"
"","(0.2401)","(0.6379)","(1.0615)"
"nC2l","0.0776*","-0.4616**","-0.4579"
"","(0.0418)","(0.2099)","(0.3192)"
"nWC2l","-0.0729","-0.0687","0.0238"
"","(0.0602)","(0.1172)","(0.1484)"
"nC3","0.2391**","0.4979","1.0899***"
"","(0.1139)","(0.34)","(0.4116)"
"nWC3","0.2221","-0.5498","-0.7449"
"","(0.2715)","(0.6511)","(1.1901)"
"nC3l","-0.034","0.6406","1.5219**"
"","(0.1096)","(0.5831)","(0.7447)"
"nWC3l","-0.0018","-0.9888","-0.9148"
"","(0.1714)","(0.6663)","(0.6348)"
"nLB","-0.5926***","-0.5989***","-0.675***"
"","(0.0341)","(0.0525)","(0.0732)"
"Moran I statistic"," 0.1921","-0.0045","-0.0484"
""," 0.0000"," 0.6927"," 0.0000"
