"","V1","V2","V3"
"waldpea","0.0756","0.1747","0.1781"
"","(0.5345)","(0.4308)","(0.4282)"
"waldpba","13.5082***","26.8932***","20.611***"
"","(1e-04)","(0)","(0)"
"waldppb","0.3335","0.4942","0.5539"
"","(0.3394)","(0.2803)","(0.2629)"
"waldpbb","0.3531","0.1025","0.084"
"","(0.331)","(0.4988)","(0.5224)"
"waldpcp","0.0359","0.0191","0"
"","(0.6123)","(0.6685)","(0.9706)"
"waldpce","0.2849","0.5923","0.3869"
"","(0.3624)","(0.2527)","(0.3173)"
"waldpp","0.3694","0.5133","0.5821"
"","(0.8313)","(0.7736)","(0.7475)"
"waldpe","0.3606","0.767","0.5643"
"","(0.835)","(0.6815)","(0.7542)"
"waldpb","20.2262***","27.3737***","20.8108***"
"","(0)","(0)","(0)"
