"","V1","V2","V3"
"waldalpha2","0.065","0.0276","0"
"","(0.5514)","(0.6367)","(0.9418)"
"waldalpha3","0.4633","0.549","0"
"","(0.2901)","(0.2643)","(0.9418)"
"waldalpha","0.5362","0.5606","0"
"","(0.7648)","(0.7556)","(1)"
"waldbeta2","0.1907","0.0974","0.135"
"","(0.4189)","(0.505)","(0.4645)"
"waldbeta3","0.0979","0.076","0.0777"
"","(0.5044)","(0.5339)","(0.5315)"
"waldbeta","0.2016","0.0975","0.1369"
"","(0.9041)","(0.9524)","(0.9338)"
"waldgamma2","0.0398","0.0138","0"
"","(0.6023)","(0.6943)","(0.9706)"
"waldgamma3","0.3949","0.096","0.1248"
"","(0.3143)","(0.5067)","(0.4745)"
"waldgamma","0.4333","0.1152","0.13"
"","(0.8052)","(0.944)","(0.9371)"
"waldallC","19.0937***","28.6462***","22.2227***"
"","(0.0079)","(2e-04)","(0.0023)"
